title,url,price,log_price,brand,cpu_family,ram_gb,storage_gb,outlier_flag
"Microsoft Surface Pro Snapdragon X Plus 8 Core 12"" Touch Laptop",https://www.startech.com.bd/microsoft-surface-pro-12-inch-laptop,185000,12.128111104060462,Microsoft,Qualcomm,16,512,FALSE
"HP 15-fc0626AU Ryzen 3 7320U 15.6"" FHD Copilot+PC Laptop",https://www.startech.com.bd/hp-15-fc0626au-laptop,52000,10.858998997563564,HP,AMD,8,512,FALSE
"Lenovo Legion Pro 5 16ADR10 Ryzen 7 8745HX RTX 5060 8GB Graphics 16"" WQXGA OLED 165Hz Gaming Laptop",https://www.startech.com.bd/lenovo-legion-pro-5-16adr10-laptop,210000,12.254862809699606,Lenovo,AMD,32,1024,FALSE
"MSI Thin A15 B7VE Ryzen 7 7735HS RTX 4050 6GB GDDR6 Graphics 15.6"" FHD Gaming Laptop",https://www.startech.com.bd/msi-thin-a15-b7ve-ryzen-7-7735hs-laptop,135000,11.813030057420567,MSI,AMD,16,512,FALSE
"Walton Prelude N41 Pro Celeron N4120 14"" FHD Laptop",https://www.startech.com.bd/walton-prelude-n41-pro-celeron-n4120-laptop,33000,10.404262840448617,Walton,Intel,8,256,FALSE
"Lenovo Legion 5 15AHP10 Ryzen 7 260 RTX 5050 8GB Graphics 15.1"" WQXGA OLED Gaming Laptop",https://www.startech.com.bd/lenovo-legion-5-15ahp10-laptop,175000,12.072541252905651,Lenovo,AMD,4,512,FALSE
"HP 15-fc0618AU Ryzen 5 7520U 15.6"" FHD Copilot+PC Laptop With Fingerprint",https://www.startech.com.bd/hp-15-fc0618au-laptop,66500,11.104957226643945,HP,AMD,16,512,FALSE
"Lenovo Legion 5 15AKP10 Ryzen AI 7 350 RTX 5070 8GB Graphics 15.1"" WQXGA OLED Gaming Laptop",https://www.startech.com.bd/lenovo-legion-5-15akp10-laptop,230000,12.345834587905333,Lenovo,AMD,32,512,FALSE
"HP 15-fc0619AU Ryzen 5 7520U 15.6"" FHD Laptop Copilot+PC",https://www.startech.com.bd/hp-15-fc0619au-laptop,65000,11.082142548877775,HP,AMD,16,512,FALSE
"Walton Prelude N50 Pro Pentium Silver N5030 14"" FHD Laptop",https://www.startech.com.bd/walton-prelude-n50-pro-pentium-silver-n5030-laptop,35400,10.474467099121865,Walton,Intel,8,256,FALSE
"HP 15-fc0620AU Ryzen 5 7520U 15.6"" FHD Copilot+PC Laptop",https://www.startech.com.bd/hp-15-fc0620au-laptop,65000,11.082142548877775,HP,AMD,16,512,FALSE
"HP 15-fd0333TU Core 5 120U 15.6"" FHD Laptop",https://www.startech.com.bd/hp-15-fd0333tu-laptop,70000,11.156250521031495,HP,Intel,8,512,FALSE
"HP 14-ep0408TU Core i5 13th Gen 14"" FHD Laptop",https://www.startech.com.bd/hp-14-ep0408tu-core-i5-laptop,75000,11.225243392518447,HP,Intel,16,512,FALSE
"Lenovo IdeaPad Slim 5 14Q8X9 Snapdragon X Plus 14"" WUXGA OLED Copilot+ PC Laptop",https://www.startech.com.bd/lenovo-ideapad-slim-5-14q8x9-snapdragon-x-plus-oled-laptop,113000,11.635143097694478,Lenovo,Qualcomm,16,512,FALSE
"HP 15-fd0800TU Core 5 120u 15.6"" FHD Copilot+PC Laptop",https://www.startech.com.bd/hp-15-fd0800tu-laptop,79000,11.27720313144916,HP,Intel,16,512,FALSE
"Lenovo IdeaPad Slim 3 15AMN8 Ryzen 3 7320U 15.6"" FHD IPS Laptop Arctic Grey",https://www.startech.com.bd/lenovo-ideapad-slim-3-15amn8-laptop-arctic-grey,51500,10.849337086651827,Lenovo,AMD,8,512,FALSE
"HP 15-fr0067TU Core i5 13th Gen 15.6"" FHD Laptop",https://www.startech.com.bd/hp-15-fr0067tu-laptop,78000,11.26446410567173,HP,Intel,16,512,FALSE
"Lenovo IdeaPad Slim 3 15AMN8 Ryzen 3 7320U 15.6"" FHD IPS Laptop Abyss Blue",https://www.startech.com.bd/lenovo-ideapad-slim-3-15amn8-ryzen-3-laptop,51500,10.849337086651827,Lenovo,AMD,8,512,FALSE
"HP 15-fd1191TU Intel Core 5 120U 15.6"" FHD Laptop",https://www.startech.com.bd/hp-15-fd1191tu-laptop,75500,11.231887935237117,HP,Intel,16,512,FALSE
"Walton Passion BX311G Core i3 11th Gen 15.6"" FHD Laptop",https://www.startech.com.bd/walton-passion-bx311g-laptop,37800,10.54006438160768,Walton,Intel,8,512,FALSE
